Format Version,1.23,Take Name,t0_static_pose_001,Take Notes,,Capture Frame Rate,100.000000,Export Frame Rate,100.000000,Capture Start Time,2023-08-01 03.10.37.978 PM,Capture Start Frame,415133,Total Frames in Take,1088,Total Exported Frames,1088,Rotation Type,YZX,Length Units,Meters,Coordinate Space,Local

,Type,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker
,Name,modified_rizzoli:APEX,modified_rizzoli:APEX,modified_rizzoli:APEX,modified_rizzoli:L1MT,modified_rizzoli:L1MT,modified_rizzoli:L1MT,modified_rizzoli:L2MT,modified_rizzoli:L2MT,modified_rizzoli:L2MT,modified_rizzoli:L5MT,modified_rizzoli:L5MT,modified_rizzoli:L5MT,modified_rizzoli:LASI,modified_rizzoli:LASI,modified_rizzoli:LASI,modified_rizzoli:LCAL,modified_rizzoli:LCAL,modified_rizzoli:LCAL,modified_rizzoli:LFBH,modified_rizzoli:LFBH,modified_rizzoli:LFBH,modified_rizzoli:LGTR,modified_rizzoli:LGTR,modified_rizzoli:LGTR,modified_rizzoli:LLEP,modified_rizzoli:LLEP,modified_rizzoli:LLEP,modified_rizzoli:LLML,modified_rizzoli:LLML,modified_rizzoli:LLML,modified_rizzoli:LMEP,modified_rizzoli:LMEP,modified_rizzoli:LMEP,modified_rizzoli:LMML,modified_rizzoli:LMML,modified_rizzoli:LMML,modified_rizzoli:LPS1,modified_rizzoli:LPS1,modified_rizzoli:LPS1,modified_rizzoli:LPS2,modified_rizzoli:LPS2,modified_rizzoli:LPS2,modified_rizzoli:LSH1,modified_rizzoli:LSH1,modified_rizzoli:LSH1,modified_rizzoli:LSH2,modified_rizzoli:LSH2,modified_rizzoli:LSH2,modified_rizzoli:LSH3,modified_rizzoli:LSH3,modified_rizzoli:LSH3,modified_rizzoli:LSH4,modified_rizzoli:LSH4,modified_rizzoli:LSH4,modified_rizzoli:LTH1,modified_rizzoli:LTH1,modified_rizzoli:LTH1,modified_rizzoli:LTH2,modified_rizzoli:LTH2,modified_rizzoli:LTH2,modified_rizzoli:LTH3,modified_rizzoli:LTH3,modified_rizzoli:LTH3,modified_rizzoli:LTH4,modified_rizzoli:LTH4,modified_rizzoli:LTH4,modified_rizzoli:LTTB,modified_rizzoli:LTTB,modified_rizzoli:LTTB,modified_rizzoli:R1MT,modified_rizzoli:R1MT,modified_rizzoli:R1MT,modified_rizzoli:R2MT,modified_rizzoli:R2MT,modified_rizzoli:R2MT,modified_rizzoli:R5MT,modified_rizzoli:R5MT,modified_rizzoli:R5MT,modified_rizzoli:RASI,modified_rizzoli:RASI,modified_rizzoli:RASI,modified_rizzoli:RCAL,modified_rizzoli:RCAL,modified_rizzoli:RCAL,modified_rizzoli:RFBH,modified_rizzoli:RFBH,modified_rizzoli:RFBH,modified_rizzoli:RGTR,modified_rizzoli:RGTR,modified_rizzoli:RGTR,modified_rizzoli:RLEP,modified_rizzoli:RLEP,modified_rizzoli:RLEP,modified_rizzoli:RLML,modified_rizzoli:RLML,modified_rizzoli:RLML,modified_rizzoli:RMEP,modified_rizzoli:RMEP,modified_rizzoli:RMEP,modified_rizzoli:RMML,modified_rizzoli:RMML,modified_rizzoli:RMML,modified_rizzoli:RPS1,modified_rizzoli:RPS1,modified_rizzoli:RPS1,modified_rizzoli:RPS2,modified_rizzoli:RPS2,modified_rizzoli:RPS2,modified_rizzoli:RSH1,modified_rizzoli:RSH1,modified_rizzoli:RSH1,modified_rizzoli:RSH2,modified_rizzoli:RSH2,modified_rizzoli:RSH2,modified_rizzoli:RSH3,modified_rizzoli:RSH3,modified_rizzoli:RSH3,modified_rizzoli:RSH4,modified_rizzoli:RSH4,modified_rizzoli:RSH4,modified_rizzoli:RTH1,modified_rizzoli:RTH1,modified_rizzoli:RTH1,modified_rizzoli:RTH2,modified_rizzoli:RTH2,modified_rizzoli:RTH2,modified_rizzoli:RTH3,modified_rizzoli:RTH3,modified_rizzoli:RTH3,modified_rizzoli:RTH4,modified_rizzoli:RTH4,modified_rizzoli:RTH4,modified_rizzoli:RTTB,modified_rizzoli:RTTB,modified_rizzoli:RTTB
,ID,"29A62D2A30BE11EE82562BF10474109F","29A62D2A30BE11EE82562BF10474109F","29A62D2A30BE11EE82562BF10474109F","438E628F30BE11EE82562BF10474109F","438E628F30BE11EE82562BF10474109F","438E628F30BE11EE82562BF10474109F","438E629030BE11EE82562BF10474109F","438E629030BE11EE82562BF10474109F","438E629030BE11EE82562BF10474109F","438E629130BE11EE82562BF10474109F","438E629130BE11EE82562BF10474109F","438E629130BE11EE82562BF10474109F","3073EF8A30BE11EE82562BF10474109F","3073EF8A30BE11EE82562BF10474109F","3073EF8A30BE11EE82562BF10474109F","438E628E30BE11EE82562BF10474109F","438E628E30BE11EE82562BF10474109F","438E628E30BE11EE82562BF10474109F","3CDF757E30BE11EE82562BF10474109F","3CDF757E30BE11EE82562BF10474109F","3CDF757E30BE11EE82562BF10474109F","3073EF8D30BE11EE82562BF10474109F","3073EF8D30BE11EE82562BF10474109F","3073EF8D30BE11EE82562BF10474109F","36A1861730BE11EE82562BF10474109F","36A1861730BE11EE82562BF10474109F","36A1861730BE11EE82562BF10474109F","438E628D30BE11EE82562BF10474109F","438E628D30BE11EE82562BF10474109F","438E628D30BE11EE82562BF10474109F","36A1861630BE11EE82562BF10474109F","36A1861630BE11EE82562BF10474109F","36A1861630BE11EE82562BF10474109F","438E628C30BE11EE82562BF10474109F","438E628C30BE11EE82562BF10474109F","438E628C30BE11EE82562BF10474109F","3073EF8B30BE11EE82562BF10474109F","3073EF8B30BE11EE82562BF10474109F","3073EF8B30BE11EE82562BF10474109F","3073EF8C30BE11EE82562BF10474109F","3073EF8C30BE11EE82562BF10474109F","3073EF8C30BE11EE82562BF10474109F","3CDF757F30BE11EE82562BF10474109F","3CDF757F30BE11EE82562BF10474109F","3CDF757F30BE11EE82562BF10474109F","3CDF758030BE11EE82562BF10474109F","3CDF758030BE11EE82562BF10474109F","3CDF758030BE11EE82562BF10474109F","3CDF758130BE11EE82562BF10474109F","3CDF758130BE11EE82562BF10474109F","3CDF758130BE11EE82562BF10474109F","3CDF758230BE11EE82562BF10474109F","3CDF758230BE11EE82562BF10474109F","3CDF758230BE11EE82562BF10474109F","3073EF8E30BE11EE82562BF10474109F","3073EF8E30BE11EE82562BF10474109F","3073EF8E30BE11EE82562BF10474109F","3073EF8F30BE11EE82562BF10474109F","3073EF8F30BE11EE82562BF10474109F","3073EF8F30BE11EE82562BF10474109F","3073EF9030BE11EE82562BF10474109F","3073EF9030BE11EE82562BF10474109F","3073EF9030BE11EE82562BF10474109F","3073EF9130BE11EE82562BF10474109F","3073EF9130BE11EE82562BF10474109F","3073EF9130BE11EE82562BF10474109F","3CDF757D30BE11EE82562BF10474109F","3CDF757D30BE11EE82562BF10474109F","3CDF757D30BE11EE82562BF10474109F","55FFFACD30BE11EE82562BF10474109F","55FFFACD30BE11EE82562BF10474109F","55FFFACD30BE11EE82562BF10474109F","55FFFACE30BE11EE82562BF10474109F","55FFFACE30BE11EE82562BF10474109F","55FFFACE30BE11EE82562BF10474109F","55FFFACF30BE11EE82562BF10474109F","55FFFACF30BE11EE82562BF10474109F","55FFFACF30BE11EE82562BF10474109F","438E629230BE11EE82562BF10474109F","438E629230BE11EE82562BF10474109F","438E629230BE11EE82562BF10474109F","55FFFACC30BE11EE82562BF10474109F","55FFFACC30BE11EE82562BF10474109F","55FFFACC30BE11EE82562BF10474109F","4FE072C430BE11EE82562BF10474109F","4FE072C430BE11EE82562BF10474109F","4FE072C430BE11EE82562BF10474109F","49A977BC30BE11EE82562BF10474109F","49A977BC30BE11EE82562BF10474109F","49A977BC30BE11EE82562BF10474109F","4FE072C230BE11EE82562BF10474109F","4FE072C230BE11EE82562BF10474109F","4FE072C230BE11EE82562BF10474109F","55FFFACB30BE11EE82562BF10474109F","55FFFACB30BE11EE82562BF10474109F","55FFFACB30BE11EE82562BF10474109F","4FE072C130BE11EE82562BF10474109F","4FE072C130BE11EE82562BF10474109F","4FE072C130BE11EE82562BF10474109F","55FFFACA30BE11EE82562BF10474109F","55FFFACA30BE11EE82562BF10474109F","55FFFACA30BE11EE82562BF10474109F","49A977BA30BE11EE82562BF10474109F","49A977BA30BE11EE82562BF10474109F","49A977BA30BE11EE82562BF10474109F","49A977BB30BE11EE82562BF10474109F","49A977BB30BE11EE82562BF10474109F","49A977BB30BE11EE82562BF10474109F","4FE072C530BE11EE82562BF10474109F","4FE072C530BE11EE82562BF10474109F","4FE072C530BE11EE82562BF10474109F","4FE072C630BE11EE82562BF10474109F","4FE072C630BE11EE82562BF10474109F","4FE072C630BE11EE82562BF10474109F","4FE072C730BE11EE82562BF10474109F","4FE072C730BE11EE82562BF10474109F","4FE072C730BE11EE82562BF10474109F","4FE072C830BE11EE82562BF10474109F","4FE072C830BE11EE82562BF10474109F","4FE072C830BE11EE82562BF10474109F","49A977BD30BE11EE82562BF10474109F","49A977BD30BE11EE82562BF10474109F","49A977BD30BE11EE82562BF10474109F","49A977BE30BE11EE82562BF10474109F","49A977BE30BE11EE82562BF10474109F","49A977BE30BE11EE82562BF10474109F","49A977BF30BE11EE82562BF10474109F","49A977BF30BE11EE82562BF10474109F","49A977BF30BE11EE82562BF10474109F","49A977C030BE11EE82562BF10474109F","49A977C030BE11EE82562BF10474109F","49A977C030BE11EE82562BF10474109F","4FE072C330BE11EE82562BF10474109F","4FE072C330BE11EE82562BF10474109F","4FE072C330BE11EE82562BF10474109F"
,,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position
Frame,Time (Seconds),X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z
0,0.000000,-1.698367,1.807398,-4.599221,-1.610150,0.063036,-4.697963,-1.602007,0.057221,-4.737413,-1.653257,0.058022,-4.781605,-1.611865,1.031262,-4.747314,-1.840817,0.068313,-4.716487,-1.726034,0.485576,-4.768407,-1.709605,0.944078,-4.788415,-1.706614,0.542087,-4.756308,-1.768433,0.107595,-4.756850,-1.712978,0.528334,-4.648827,-1.749597,0.115205,-4.669274,-1.796401,1.141547,-4.635907,-1.815364,1.058424,-4.642849,-1.775605,0.376444,-4.810628,-1.779997,0.274526,-4.794941,-1.720546,0.272124,-4.786594,-1.717591,0.355401,-4.799844,-1.716803,0.800559,-4.789780,-1.722392,0.697239,-4.777822,-1.663036,0.693186,-4.783334,-1.658608,0.777834,-4.792012,-1.680610,0.453584,-4.719650,-1.611246,0.048460,-4.529194,-1.601793,0.062605,-4.476919,-1.647003,0.058218,-4.422156,-1.634577,1.015957,-4.450569,-1.836968,0.073158,-4.468294,-1.737226,0.491213,-4.446382,-1.744477,0.926372,-4.429376,-1.723912,0.539622,-4.450628,-1.764913,0.101065,-4.435422,-1.718373,0.518392,-4.566035,-1.756616,0.109488,-4.523314,-1.794416,1.156676,-4.575747,-1.820592,1.057729,-4.585486,-1.729889,0.386837,-4.400306,-1.734067,0.283720,-4.409364,-1.793390,0.285663,-4.406646,-1.789939,0.369132,-4.399270,-1.657936,0.791106,-4.414200,-1.667361,0.687304,-4.424837,-1.726824,0.692405,-4.423540,-1.719286,0.775988,-4.414159,-1.686589,0.444512,-4.494505
1,0.010000,-1.698431,1.807394,-4.599256,-1.610145,0.063040,-4.697957,-1.601979,0.057247,-4.737414,-1.653255,0.058021,-4.781597,-1.611892,1.031256,-4.747293,-1.840808,0.068326,-4.716474,-1.726049,0.485570,-4.768417,-1.709620,0.944083,-4.788428,-1.706611,0.542096,-4.756320,-1.768427,0.107615,-4.756841,-1.712954,0.528299,-4.648855,-1.749586,0.115199,-4.669273,-1.796415,1.141559,-4.635903,-1.815384,1.058432,-4.642850,-1.775592,0.376451,-4.810632,-1.779990,0.274554,-4.794934,-1.720564,0.272132,-4.786592,-1.717592,0.355402,-4.799822,-1.716828,0.800562,-4.789772,-1.722387,0.697263,-4.777838,-1.663033,0.693192,-4.783347,-1.658601,0.777857,-4.792020,-1.680587,0.453573,-4.719644,-1.611238,0.048482,-4.529206,-1.601799,0.062621,-4.476916,-1.647006,0.058218,-4.422151,-1.634575,1.015954,-4.450589,-1.836959,0.073155,-4.468303,-1.737233,0.491226,-4.446380,-1.744490,0.926401,-4.429365,-1.723944,0.539636,-4.450610,-1.764916,0.101091,-4.435404,-1.718387,0.518396,-4.566045,-1.756609,0.109517,-4.523304,-1.794436,1.156694,-4.575747,-1.820599,1.057721,-4.585502,-1.729904,0.386845,-4.400307,-1.734086,0.283730,-4.409356,-1.793403,0.285730,-4.406638,-1.789952,0.369135,-4.399292,-1.657951,0.791128,-4.414195,-1.667382,0.687300,-4.424833,-1.726830,0.692423,-4.423526,-1.719294,0.776000,-4.414170,-1.686607,0.444511,-4.494490
2,0.020000,-1.698515,1.807395,-4.599274,-1.610123,0.063049,-4.697973,-1.601969,0.057252,-4.737420,-1.653231,0.058037,-4.781595,-1.611929,1.031258,-4.747300,-1.840815,0.068350,-4.716475,-1.726055,0.485567,-4.768397,-1.709640,0.944090,-4.788457,-1.706617,0.542108,-4.756320,-1.768428,0.107628,-4.756851,-1.713003,0.528299,-4.648874,-1.749588,0.115203,-4.669267,-1.796447,1.141581,-4.635908,-1.815416,1.058457,-4.642844,-1.775601,0.376471,-4.810647,-1.779994,0.274548,-4.794932,-1.720579,0.272138,-4.786602,-1.717605,0.355397,-4.799825,-1.716818,0.800591,-4.789789,-1.722383,0.697258,-4.777850,-1.663044,0.693206,-4.783343,-1.658616,0.777865,-4.792027,-1.680598,0.453590,-4.719657,-1.611239,0.048496,-4.529208,-1.601800,0.062640,-4.476911,-1.646997,0.058205,-4.422162,-1.634606,1.015957,-4.450603,-1.836984,0.073177,-4.468282,-1.737256,0.491230,-4.446381,-1.744503,0.926404,-4.429364,-1.723956,0.539619,-4.450623,-1.764910,0.101101,-4.435403,-1.718378,0.518404,-4.566057,-1.756580,0.109547,-4.523302,-1.794448,1.156706,-4.575753,-1.820638,1.057732,-4.585514,-1.729909,0.386822,-4.400326,-1.734093,0.283723,-4.409355,-1.793404,0.285730,-4.406650,-1.789945,0.369136,-4.399280,-1.657945,0.791115,-4.414219,-1.667389,0.687311,-4.424829,-1.726830,0.692434,-4.423538,-1.719301,0.775987,-4.414161,-1.686606,0.444522,-4.494500
3,0.030000,-1.698614,1.807384,-4.599278,-1.610125,0.063051,-4.697965,-1.601993,0.057236,-4.737425,-1.653258,0.058026,-4.781590,-1.612025,1.031320,-4.747346,-1.840809,0.068321,-4.716487,-1.726082,0.485563,-4.768424,-1.709680,0.944087,-4.788474,-1.706645,0.542085,-4.756319,-1.768444,0.107610,-4.756828,-1.713030,0.528284,-4.648910,-1.749598,0.115195,-4.669275,-1.796477,1.141539,-4.635898,-1.815513,1.058433,-4.642895,-1.775629,0.376439,-4.810638,-1.780029,0.274537,-4.794940,-1.720602,0.272119,-4.786620,-1.717621,0.355394,-4.799844,-1.716819,0.800586,-4.789783,-1.722401,0.697250,-4.777847,-1.663060,0.693181,-4.783348,-1.658640,0.777837,-4.792028,-1.680625,0.453576,-4.719666,-1.611245,0.048467,-4.529201,-1.601797,0.062634,-4.476914,-1.647005,0.058214,-4.422144,-1.634629,1.015950,-4.450599,-1.836980,0.073170,-4.468288,-1.737272,0.491209,-4.446386,-1.744528,0.926386,-4.429368,-1.723971,0.539613,-4.450621,-1.764918,0.101067,-4.435414,-1.718421,0.518400,-4.566063,-1.756616,0.109504,-4.523299,-1.794490,1.156697,-4.575740,-1.820663,1.057718,-4.585497,-1.729939,0.386826,-4.400312,-1.734116,0.283728,-4.409341,-1.793409,0.285502,-4.406601,-1.789984,0.369119,-4.399288,-1.657957,0.791113,-4.414221,-1.667374,0.687287,-4.424856,-1.726851,0.692412,-4.423525,-1.719311,0.775976,-4.414167,-1.686619,0.444516,-4.494500
4,0.040000,-1.698653,1.807357,-4.599264,-1.610144,0.063041,-4.697968,-1.602014,0.057233,-4.737414,-1.653293,0.058009,-4.781586,-1.611988,1.031258,-4.747318,-1.840825,0.068293,-4.716486,-1.726090,0.485532,-4.768420,-1.709702,0.944075,-4.788462,-1.706682,0.542060,-4.756326,-1.768456,0.107585,-4.756845,-1.713068,0.528310,-4.648901,-1.749595,0.115212,-4.669277,-1.796506,1.141516,-4.635921,-1.815615,1.058343,-4.642797,-1.775662,0.376419,-4.810631,-1.780031,0.274505,-4.794946,-1.720608,0.272116,-4.786612,-1.717638,0.355405,-4.799853,-1.716862,0.800587,-4.789806,-1.722435,0.697256,-4.777871,-1.663102,0.693183,-4.783369,-1.658669,0.777827,-4.792042,-1.680638,0.453577,-4.719657,-1.611268,0.048460,-4.529199,-1.601812,0.062618,-4.476924,-1.646996,0.058214,-4.422144,-1.634636,1.015942,-4.450613,-1.836990,0.073153,-4.468270,-1.737300,0.491222,-4.446373,-1.744563,0.926358,-4.429377,-1.723982,0.539617,-4.450627,-1.764929,0.101058,-4.435411,-1.718451,0.518369,-4.566045,-1.756651,0.109499,-4.523291,-1.794497,1.156664,-4.575758,-1.820686,1.057704,-4.585503,-1.729956,0.386833,-4.400318,-1.734141,0.283723,-4.409344,-1.793424,0.285631,-4.406654,-1.790016,0.369115,-4.399298,-1.657975,0.791102,-4.414221,-1.667424,0.687296,-4.424836,-1.726859,0.692394,-4.423536,-1.719341,0.775974,-4.414167,-1.686660,0.444500,-4.494483
5,0.050000,-1.698733,1.807364,-4.599228,-1.610130,0.063035,-4.697959,-1.602006,0.057223,-4.737403,-1.653259,0.058011,-4.781592,-1.612002,1.031263,-4.747329,-1.840811,0.068305,-4.716485,-1.726093,0.485574,-4.768435,-1.709712,0.944069,-4.788448,-1.706700,0.542093,-4.756332,-1.768433,0.107591,-4.756845,-1.713073,0.528287,-4.648903,-1.749597,0.115210,-4.669276,-1.796492,1.141509,-4.635905,-1.815632,1.058427,-4.642744,-1.775652,0.376438,-4.810644,-1.780027,0.274527,-4.794945,-1.720601,0.272135,-4.786593,-1.717638,0.355408,-4.799841,-1.716887,0.800589,-4.789824,-1.722440,0.697040,-4.777875,-1.663105,0.693180,-4.783374,-1.658669,0.777837,-4.792042,-1.680667,0.453583,-4.719680,-1.611265,0.048457,-4.529194,-1.601807,0.062621,-4.476912,-1.647015,0.058224,-4.422138,-1.634662,1.015938,-4.450611,-1.836977,0.073149,-4.468285,-1.737297,0.491221,-4.446374,-1.744571,0.926372,-4.429383,-1.724000,0.539624,-4.450622,-1.764918,0.101048,-4.435409,-1.718455,0.518392,-4.566049,-1.756639,0.109494,-4.523299,-1.794574,1.156701,-4.575672,-1.820705,1.057697,-4.585520,-1.729968,0.386829,-4.400317,-1.734157,0.283725,-4.409338,-1.793447,0.285702,-4.406666,-1.790020,0.369111,-4.399307,-1.658008,0.791106,-4.414217,-1.667431,0.687307,-4.424859,-1.726881,0.692413,-4.423531,-1.719361,0.775980,-4.414174,-1.686637,0.444527,-4.494503
